,id,full_name,first_name,last_name,is_active
565,76277,Myron Brown,Myron,Brown,False
566,136,P.J. Brown,P.J.,Brown,False
567,753,Randy Brown,Randy,Brown,False
568,76282,Raymond Brown,Raymond,Brown,False
569,76283,Rickey Brown,Rickey,Brown,False
570,76286,Roger Brown,Roger,Brown,False
571,200769,Shannon Brown,Shannon,Brown,False
572,76285,Stan Brown,Stan,Brown,False
573,1628425,Sterling Brown,Sterling,Brown,False
574,2357,Tierre Brown,Tierre,Brown,False
575,76268,Tony Brown,Tony,Brown,False
576,1630535,Greg Brown III,Greg,Brown III,True
577,1629718,Charlie Brown Jr.,Charlie,Brown Jr.,True
578,1630602,Chaundee Brown Jr.,Chaundee,Brown Jr.,False
579,1628972,Troy Brown Jr.,Troy,Brown Jr.,True
580,76287,Jim Browne,Jim,Browne,False
581,76288,Stanley Brundy,Stanley,Brundy,False
582,1628973,Jalen Brunson,Jalen,Brunson,True
583,1594,Rick Brunson,Rick,Brunson,False
584,1627852,Nicolas Brussino,Nicolas,Brussino,False
585,1629091,Elijah Bryant,Elijah,Bryant,False
586,76289,Emmette Bryant,Emmette,Bryant,False
587,76290,Joe Bryant,Joe,Bryant,False
588,977,Kobe Bryant,Kobe,Bryant,False
589,95,Mark Bryant,Mark,Bryant,False
590,1628418,Thomas Bryant,Thomas,Bryant,True
591,76291,Wallace Bryant,Wallace,Bryant,False
592,76292,Torgeir Bryn,Torgeir,Bryn,False
593,1629783,Shaq Buchanan,Shaq,Buchanan,False
594,76293,Joe Buckhalter,Joe,Buckhalter,False
595,76294,Steve Bucknall,Steve,Bucknall,False
596,76295,Cleveland Buckner,Cleveland,Buckner,False
597,1761,Greg Buckner,Greg,Buckner,False
598,76296,Quinn Buckner,Quinn,Buckner,False
599,76297,Dave Budd,Dave,Budd,False
600,201978,Chase Budinger,Chase,Budinger,False
601,76298,Walter Budko,Walter,Budko,False
602,146,Jud Buechler,Jud,Buechler,False
603,1641723,Kobe Bufkin,Kobe,Bufkin,True
604,1934,Rodney Buford,Rodney,Buford,False
605,672,Matt Bullard,Matt,Bullard,False
606,203493,Reggie Bullock Jr.,Reggie,Bullock Jr.,True
607,76300,Greg Bunch,Greg,Bunch,False
608,76301,Dick Bunt,Dick,Bunt,False
609,76302,Bill Buntin,Bill,Buntin,False
610,76303,Luther Burden,Luther,Burden,False
611,2469,Pat Burke,Pat,Burke,False
612,203504,Trey Burke,Trey,Burke,False
613,76304,Roger Burkman,Roger,Burkman,False
614,202692,Alec Burks,Alec,Burks,True
615,2766,Antonio Burks,Antonio,Burks,False
616,101207,Kevin Burleson,Kevin,Burleson,False
617,76305,Tom Burleson,Tom,Burleson,False
618,76306,Jack Burmaster,Jack,Burmaster,False
619,76307,David Burns,David,Burns,False
620,76308,Evers Burns,Evers,Burns,False
621,76309,Jim Burns,Jim,Burns,False
622,197,Scott Burrell,Scott,Burrell,False
623,76311,Art Burris,Art,Burris,False
624,675,Junior Burrough,Junior,Burrough,False
625,76313,Bob Burrow,Bob,Burrow,False
626,1629126,Deonte Burton,Deonte,Burton,False
627,76314,Ed Burton,Ed,Burton,False
628,416,Willie Burton,Willie,Burton,False
629,76316,Steve Burtt,Steve,Burtt,False
630,76317,Don Buse,Don,Buse,False
631,202221,Brian Butch,Brian,Butch,False
632,76318,Donnie Butcher,Donnie,Butcher,False
633,76319,Al Butler,Al,Butler,False
634,2406,Caron Butler,Caron,Butler,False
635,202364,Da'Sean Butler,Da'Sean,Butler,False
636,76320,Greg Butler,Greg,Butler,False
637,2866,Jackie Butler,Jackie,Butler,False
638,1630215,Jared Butler,Jared,Butler,True
639,202710,Jimmy Butler,Jimmy,Butler,True
640,348,Mitchell Butler,Mitchell,Butler,False
641,2446,Rasual Butler,Rasual,Butler,False
642,1631219,John Butler Jr.,John,Butler Jr.,False
643,202779,Dwight Buycks,Dwight,Buycks,False
644,1641824,Matas Buzelis,Matas,Buzelis,False
645,201182,Derrick Byars,Derrick,Byars,False
646,101115,Andrew Bynum,Andrew,Bynum,False
647,101198,Will Bynum,Will,Bynum,False
648,76321,Marty Byrnes,Marty,Byrnes,False
